City,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
mataura,39.0,83,1,3.0,-46.19,168.86,1592506691
vanimo,78.37,84,10,3.27,-2.67,141.3,1592506872
maniitsoq,40.51,78,0,14.07,65.42,-52.9,1592506872
port lincoln,59.34,43,70,21.77,-34.73,135.87,1592506872
taywarah,55.51,38,0,5.93,33.35,64.42,1592506872
esperance,48.2,87,75,13.87,-33.87,121.9,1592506806
east london,64.45,60,0,12.55,-33.02,27.91,1592506872
bengkulu,76.28,89,95,4.79,-3.8,102.27,1592506872
bambous virieux,71.6,68,75,13.87,-20.34,57.76,1592506873
punta arenas,39.2,86,90,13.87,-53.15,-70.92,1592506683
cape town,63.0,62,0,9.17,-33.93,18.42,1592506657
saint-philippe,69.8,68,75,11.41,-21.36,55.77,1592506873
rikitea,75.97,85,100,17.6,-23.12,-134.97,1592506684
albany,87.01,44,47,6.26,42.6,-73.97,1592506873
ushuaia,33.8,74,22,3.36,-54.8,-68.3,1592506671
busselton,42.01,97,60,5.14,-33.65,115.33,1592506822
qaanaaq,35.17,85,0,1.34,77.48,-69.36,1592506873
rio grande,64.4,88,75,9.17,-32.03,-52.1,1592506647
katsuura,66.0,93,75,5.82,35.13,140.3,1592506873
okhotsk,44.89,93,98,4.61,59.38,143.3,1592506834
ust-omchug,54.88,74,53,2.24,61.15,149.63,1592506874
praia da vitoria,71.6,64,75,9.71,38.73,-27.07,1592506874
hofn,48.69,89,99,3.58,64.25,-15.21,1592506874
jamestown,77.0,57,90,3.36,42.1,-79.24,1592506874
vila velha,75.99,73,20,10.29,-20.33,-40.29,1592506873
khorinsk,50.68,54,0,3.56,52.17,109.77,1592506874
kruisfontein,56.97,44,0,5.61,-34.0,24.73,1592506875
barrow,39.2,80,1,9.17,71.29,-156.79,1592506875
pangnirtung,39.2,80,75,18.34,66.15,-65.71,1592506875
carrboro,79.0,69,0,6.76,35.91,-79.08,1592506875
puerto ayora,82.4,51,29,17.22,-0.74,-90.35,1592506875
waipawa,52.0,93,100,25.28,-41.41,175.52,1592506875
ketchikan,57.2,93,90,28.86,55.34,-131.65,1592506875
palana,46.18,95,30,1.23,59.12,159.97,1592506875
tiksi,53.35,71,100,4.09,71.69,128.87,1592506875
khatanga,53.13,57,16,11.95,71.97,102.5,1592506875
porto novo,78.8,88,20,3.36,6.5,2.6,1592506875
kaitangata,40.06,83,42,9.1,-46.28,169.85,1592506824
margate,66.0,70,74,4.0,51.38,1.39,1592506876
georgetown,84.2,79,20,5.82,5.41,100.34,1592506872
carnarvon,60.8,67,0,12.75,-24.87,113.63,1592506615
tumbi,69.8,64,62,4.94,-5.07,32.73,1592506876
lagoa,65.26,88,4,13.65,39.05,-27.98,1592506876
hermanus,55.99,66,0,4.0,-34.42,19.23,1592506876
clyde river,33.8,89,90,9.17,70.47,-68.59,1592506876
mar del plata,57.99,76,75,14.99,-38.0,-57.56,1592506876
port alfred,55.99,78,0,5.99,-33.59,26.89,1592506876
saint-pierre,69.8,68,75,11.41,-21.34,55.48,1592506876
saint-georges,87.8,70,20,20.8,12.06,-61.75,1592506866
bluff,39.0,83,0,3.0,-46.6,168.33,1592506700
port hardy,57.2,82,90,4.7,50.7,-127.42,1592506877
kyren,56.7,78,100,0.92,51.68,102.14,1592506877
nouadhibou,75.2,73,0,20.8,20.93,-17.03,1592506877
varkkallai,84.2,79,20,3.36,8.73,76.71,1592506877
riyadh,96.8,10,72,8.05,24.69,46.72,1592506671
kapaa,75.99,94,90,21.92,22.08,-159.32,1592506691
dikson,32.83,96,94,16.78,73.51,80.55,1592506877
ribeira grande,66.2,82,75,12.75,38.52,-28.7,1592506698
vaini,69.8,83,20,10.29,-21.2,-175.2,1592506877
victoria,84.0,74,100,3.0,22.29,114.16,1592506673
hervey bay,63.0,94,19,11.01,-25.3,152.85,1592506751
castro,65.98,73,100,8.77,-24.79,-50.01,1592506813
new norfolk,39.99,85,100,2.37,-42.78,147.06,1592506878
srednekolymsk,75.63,36,54,1.77,67.45,153.68,1592506878
saldanha,62.6,45,0,3.36,-33.01,17.94,1592506878
kuala lumpur,78.8,94,20,0.27,3.14,101.69,1592506878
cidreira,74.41,68,41,8.19,-30.18,-50.21,1592506878
los llanos de aridane,73.4,73,40,14.99,28.66,-17.92,1592506616
hasaki,64.4,100,75,6.93,35.73,140.83,1592506878
nhulunbuy,77.74,79,72,14.29,-12.23,136.77,1592506879
hithadhoo,84.47,77,100,8.68,-0.6,73.08,1592506879
poum,74.26,76,100,15.64,-20.23,164.02,1592506879
brokopondo,86.18,61,5,3.6,4.75,-55.17,1592506879
beringovskiy,48.88,56,0,0.2,63.05,179.32,1592506879
faanui,79.79,80,100,4.5,-16.48,-151.75,1592506879
luderitz,78.8,21,0,5.82,-26.65,15.16,1592506879
tashigang,69.39,73,100,0.94,27.33,91.55,1592506879
butaritari,83.14,60,100,1.79,3.07,172.79,1592506879
aranos,53.83,43,0,9.86,-24.13,19.12,1592506879
iqaluit,42.8,60,90,5.82,63.75,-68.51,1592506707
atuona,79.81,76,22,11.18,-9.8,-139.03,1592506811
morondava,73.56,73,0,11.03,-20.28,44.28,1592506880
port elizabeth,60.8,72,0,5.82,-33.92,25.57,1592506601
sokoni,78.8,74,75,13.87,-6.43,39.55,1592506880
kodiak,50.0,87,90,12.75,57.79,-152.41,1592506880
airai,57.99,100,88,4.14,-8.93,125.41,1592506880
san luis,64.31,28,90,10.16,-33.3,-66.34,1592506880
la ronge,57.2,41,75,16.11,55.1,-105.28,1592506641
tuktoyaktuk,42.8,93,90,9.17,69.45,-133.04,1592506615
marolambo,57.88,93,48,3.09,-20.05,48.12,1592506880
thinadhoo,84.24,75,79,6.8,0.53,72.93,1592506881
upernavik,36.27,81,0,10.38,72.79,-56.15,1592506702
talnakh,46.4,61,87,13.42,69.49,88.4,1592506881
hede,63.27,89,24,5.01,33.77,120.25,1592506881
guerrero negro,72.0,53,6,14.47,27.98,-114.06,1592506881
bardiyah,72.37,70,0,18.95,31.76,25.09,1592506881
san isidro,68.0,68,90,8.05,-12.12,-77.05,1592506881
vila franca do campo,64.4,82,75,12.75,37.72,-25.43,1592506881
havelock,79.0,62,1,5.99,34.88,-76.9,1592506881
tuatapere,39.0,83,27,3.0,-46.13,167.68,1592506802
